Notas
3.9
3.8
4.4
3.2
4.3
3.2
4.3
3.6
4.5
4.1
3.4
4.2
4.1
4.3
3.4
4.4
3.9
3.9
4.8
3.7
3.9
3.6
2.2
2.2
4.7
3.8
4.5
4.5
3.5
4.5
