Notas
3.9
3.9
4.5
4.2
4.1
4.2
4.8
4.6
3.2
4.3
4.5
3.9
3.3
4.6
3.9
3.2
4.1
3.5
4.1
4.5
3.8
4.1
3.5
4.7
4.1
3.6
3.9
3.4
2.9
3.7
4.7
3.6
3.8
3.6
4.4
4.3
4.4
3.5
2.2
1.7
4.1
4.8
2.4
2.1
4.1
3.5
4.3
3.9
4.3
4.3
4.4
3.4
4.2
3.6
3.2
4.1
2.2
3.8
3.7
3.9
4.6
4.2
3.7
3.7
3.9
4.5
3.9
