,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1001,3.2,OXALIDACEAE,Carambolo,Averrhoa carambola 
1002,13.5,FABACEAE,Ébano,Caesalpinia ebano 
1003,3.1,ARECACEAE,Palma robeleni,Phoenix roebelenii
1004,3.8,ARECACEAE,Palma robeleni,Phoenix roebelenii
1005,3.2,ARECACEAE,Palma robeleni,Phoenix roebelenii
1006,7.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1007,3.1,ARECACEAE,Palma robeleni,Phoenix roebelenii
1008,3.2,ARECACEAE,Palma robeleni,Phoenix roebelenii
1009,6.0,ARECACEAE,Palma pindo,Syagrus romanzoffiana 
1010,3.3,ARECACEAE,Palma robeleni,Phoenix roebelenii
1011,2.9,ARECACEAE,Palma robeleni,Phoenix roebelenii
1012,8.0,ARECACEAE,Palma sancona,Syagrus sancona 
1013,3.5,ARECACEAE,Palma robeleni,Phoenix roebelenii
1014,3.1,ARECACEAE,Palma robeleni,Phoenix roebelenii
1015,3.2,ARECACEAE,Palma robeleni,Phoenix roebelenii
1016,2.9,ARECACEAE,Palma robeleni,Phoenix roebelenii
1017,8.0,ARECACEAE,Palma sancona,Syagrus sancona 
1018,11.0,ARECACEAE,Palma sancona,Syagrus sancona 
1019,9.2,ARECACEAE,Palma sancona,Syagrus sancona 
1020,10.5,ARECACEAE,Palma sancona,Syagrus sancona 
1021,12.5,ARECACEAE,Palma sancona,Syagrus sancona 
1022,14.0,ARECACEAE,Palma sancona,Syagrus sancona 
1023,15.0,ARECACEAE,Palma sancona,Syagrus sancona 
1024,9.0,ARECACEAE,Palma sancona,Syagrus sancona 
1025,10.0,ARECACEAE,Palma sancona,Syagrus sancona 
1026,14.0,ARECACEAE,Palma sancona,Syagrus sancona 
1027,10.0,ARECACEAE,Palma sancona,Syagrus sancona 
1028,8.5,ARECACEAE,Palma sancona,Syagrus sancona 
1029,9.5,ARECACEAE,Palma sancona,Syagrus sancona 
1030,12.0,ARECACEAE,Palma sancona,Syagrus sancona 
1031,11.0,ARECACEAE,Palma sancona,Syagrus sancona 
1032,13.0,ARECACEAE,Palma sancona,Syagrus sancona 
1033,15.0,ARECACEAE,Palma sancona,Syagrus sancona 
1034,0.8,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1035,5.5,FABACEAE,Carbonero (2),Calliandra pittieri 
1036,7.0,FABACEAE,Dividivi,Libidibia coriaria
1037,12.5,OLEACEAE,Urapán,Fraxinus uhdei 
1038,2.5,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1039,4.3,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1040,10.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1041,3.0,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1042,9.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1043,5.8,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1044,13.0,OLEACEAE,Urapán,Fraxinus uhdei 
1045,3.2,MELASTOMATACEAE,Miconia,Miconia longifolia
1046,2.6,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1047,4.5,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus
1048,6.0,BORAGINACEAE,Nogal cafetero,Cordia alliodora 
1049,7.5,COMBRETACEAE,Almendro,Terminalia catappa 
1050,6.5,ANACARDIACEAE,Mango,Mangifera indica 
1051,10.5,SAPOTACEAE,Caimito,Chrysophyllum cainito
1052,4.5,LECYTHIDACEAE,Abarco,Cariniana pyriformis 
1053,1.9,FABACEAE,Gualanday (2),Jacaranda hesperia 
1054,0.8,FABACEAE,Gualanday (2),Jacaranda hesperia 
1055,1.9,FABACEAE,Guamo bejuco,Inga edulis 
1056,1.3,FABACEAE,Gualanday (2),Jacaranda hesperia 
1057,1.55,EUPHORBIACEAE,Papayuelo,Cnidoscolus aconitifolius
1058,10.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1059,1.4,EUPHORBIACEAE,Papayuelo,Cnidoscolus aconitifolius
1060,1.7,LAURACEAE,Aguacate,Persea americana 
1061,6.5,ANACARDIACEAE,Mango,Mangifera indica 
1062,11.0,MYRTACEAE,Calistemo blanco,Melaleuca quinquenervia 
1063,9.0,ANNONACEAE,Guanábano,Annona muricata 
1064,4.3,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1065,10.0,FABACEAE,Samán,Samanea saman 
1066,0.5,MALVACEAE,Cacao de monte,Pachira speciosa
1067,10.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1068,16.0,OLEACEAE,Urapán,Fraxinus uhdei 
1069,10.0,FABACEAE,Carmín,Senna siamea 
1070,7.5,FABACEAE,Acacia amarilla (1),Peltophorum dubium
1071,1.9,RUBIACEAE,Punta guayabo,Wittmackanthus stanleyanus 
1072,15.0,OLEACEAE,Urapán,Fraxinus uhdei 
1073,10.0,CASUARINACEAE,Casuarina,Casuarina equisetifolia 
1074,13.0,FABACEAE,Búcaro,Erythrina fusca 
1075,6.5,FABACEAE,Dividivi,Libidibia coriaria
1076,6.5,FABACEAE,Dividivi,Libidibia coriaria
1077,8.5,MALVACEAE,Ceiba rosada,Ceiba speciosa
1078,12.0,FABACEAE,Casco de vaca orquidea,Bauhinia variegata 
1079,6.5,FABACEAE,Carbonero (2),Calliandra pittieri 
1080,3.8,SAPOTACEAE,Zapote de carne,Pouteria sapota
1081,5.8,LYTHRACEAE,Flor de reina,Lagerstroemia speciosa
1082,10.0,FABACEAE,Casco de vaca orquidea,Bauhinia variegata 
1083,10.0,FABACEAE,Casco de vaca orquidea,Bauhinia variegata 
1084,5.8,SAPOTACEAE,Caimito,Chrysophyllum cainito
1085,7.0,SALICACEAE,Cerezo del gobernador,Flacourtia indica 
1086,12.5,CASUARINACEAE,Casuarina,Casuarina equisetifolia 
1087,3.6,FABACEAE,Ébano,Caesalpinia ebano 
1088,15.0,OLEACEAE,Urapán,Fraxinus uhdei 
1089,4.1,BIGNONIACEAE,Guayacán rosado,Tabebuia rosea 
1090,10.0,FABACEAE,Algarrobo,Hymenea courbaril
1091,6.3,MALVACEAE,Ceiba pentandra,Ceiba pentandra 
1092,15.3,POLYGONACEAE,Vara santa,Triplaris americana
1093,10.5,OLEACEAE,Urapán,Fraxinus uhdei 
1094,10.0,FABACEAE,Algarrobo,Hymenea courbaril
1095,15.0,MALVACEAE,Guacimo,Guazuma ulmifolia 
1096,3.4,FABACEAE,Arroz con coco,Andira inermis 
1097,16.0,FABACEAE,Búcaro,Erythrina fusca 
1098,13.0,SAPINDACEAE,Mamoncillo,Melicoccus bijugatus 
1099,3.8,FABACEAE,Nazareno,Peltogyne purpurea
1100,8.0,URTICACEAE,Yarumo,Cecropia sp. 
1101,2.54,EUPHORBIACEAE,Árbol del caucho,Hevea brasiliensis
1102,9.5,ANACARDIACEAE,Falso pimiento,Schinus terebinthifolius 
1103,10.5,OLEACEAE,Urapán,Fraxinus uhdei 
1104,13.8,FABACEAE,Pisquín,Albizia carbonaria 
1105,6.0,SAPINDACEAE,Huevo vegetal,Blighia sapida
1106,17.0,POLYGONACEAE,Vara santa,Triplaris americana
1107,4.5,MALPIGHIACEAE,Huesito,Malpighia glabra 
1108,11.7,MORACEAE,Falso caucho,Ficus elastica
1109,18.0,MORACEAE,Falso laurel,Ficus benjamina 
