,ALTURA TOTAL,FAMILIA,Nombre común,Nombre científico
1315,13.5,FABACEAE,Gualanday (2),Jacaranda hesperia 
1316,11.0,FABACEAE,Gualanday (2),Jacaranda hesperia 
1317,14.0,ANACARDIACEAE,Caracolí,Anacardium excelsum 
1318,14.5,MELIACEAE,Caobo,Swietenia macrophylla 
1319,14.0,MELIACEAE,Caobo,Swietenia macrophylla 
1320,12.0,MELIACEAE,Caobo,Swietenia macrophylla 
1321,12.5,MELIACEAE,Caobo,Swietenia macrophylla 
1322,17.0,FABACEAE,Cedro rosado de la india,Acrocarpus fraxinifolius 
1323,4.2,EUPHORBIACEAE,Peregrina,Jatropha integerrima 
1324,6.0,EUPHORBIACEAE,Peregrina,Jatropha integerrima 
1325,5.0,EUPHORBIACEAE,Peregrina,Jatropha integerrima 
1326,5.5,RUTACEAE,Azahar de la india,Murraya paniculata
1327,4.8,EUPHORBIACEAE,Peregrina,Jatropha integerrima 
1328,4.8,EUPHORBIACEAE,Peregrina,Jatropha integerrima 
1329,4.3,RUTACEAE,Azahar de la india,Murraya paniculata
1330,4.3,RUTACEAE,Azahar de la india,Murraya paniculata
1331,4.0,MYRTACEAE,Grosello,Eugenia uniflora
1332,4.1,MYRTACEAE,Grosello,Eugenia uniflora
1333,6.0,MYRTACEAE,Grosello,Eugenia uniflora
1334,12.5,FABACEAE,Acacia amarilla,Caesalpinia pluviosa
1335,6.0,MYRTACEAE,Grosello,Eugenia uniflora
1336,1.9,MYRTACEAE,Grosello,Eugenia uniflora
1337,3.7,MYRTACEAE,Grosello,Eugenia uniflora
1338,13.0,FABACEAE,Ébano,Caesalpinia ebano 
1339,14.0,FABACEAE,Ébano,Caesalpinia ebano 
1340,5.2,FABACEAE,Capote,Machaerium capote
1341,13.5,FABACEAE,Ébano,Caesalpinia ebano 
1342,8.5,FABACEAE,Capote,Machaerium capote
1343,10.0,FABACEAE,Ébano,Caesalpinia ebano 
1344,15.0,OLEACEAE,Urapán,Fraxinus uhdei 
1345,5.5,FABACEAE,Ébano,Caesalpinia ebano 
1346,15.0,OLEACEAE,Urapán,Fraxinus uhdei 
1347,11.0,FABACEAE,Ébano,Caesalpinia ebano 
1348,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1349,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1350,10.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1351,0.98,LAURACEAE,Aguacate,Persea americana 
1352,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1353,12.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1354,10.5,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
1355,15.0,LYTHRACEAE,Guayacán de manizales,Lafoensia speciosa 
