,startA,startB,Distancia,Tiempo (min)
3192,Calle 51 Los Colores,La 33,2.56,16.5333333333
3193,Calle 51 Los Colores,Rosales,2.4,16.0
3194,Calle 51 Los Colores,Maria Luisa Calle,4.48,22.9333333333
3195,Calle 51 Los Colores,Unidad Deportiva de Belén,2.64,16.8
3197,Calle 51 Los Colores,Cafetero,2.56,16.5333333333
3198,Calle 51 Los Colores,Metro Envigado Sur,3.28,18.9333333333
3199,Calle 51 Los Colores,Metro Envigado Norte,3.44,19.4666666667
3200,Calle 51 Los Colores,Auxiliar Metro Envigado,3.36,19.2
3201,Calle 51 Los Colores,La Ultima Estación,3.36,19.2
3202,Calle 51 Los Colores,Pista de Patinaje,3.36,19.2
3203,Calle 51 Los Colores,Villas de Vallejuelos,3.52,19.7333333333
3204,Calle 51 Los Colores,Iglesia Alcalá,3.52,19.7333333333
3205,Calle 51 Los Colores,Los Urapanes,3.68,20.2666666667
3206,Calle 51 Los Colores,Parque Débora Arango,3.6,20.0
3207,Calle 51 Los Colores,Porton de Alcalá,3.76,20.5333333333
3208,Calle 51 Los Colores,El MUA,3.76,20.5333333333
3209,Calle 51 Los Colores,Viva Envigado,3.92,21.0666666667
3210,Calle 51 Los Colores,Guanteros,3.84,20.8
3211,Calle 51 Los Colores,Envigado Centro,4.0,21.3333333333
3212,Calle 51 Los Colores,Puente fundadores,3.44,19.4666666667
3213,Calle 51 Los Colores,Sabaneta Metro,3.6,20.0
3214,Calle 51 Los Colores,Las Vegas 69 Sur,3.84,20.8
3215,Calle 51 Los Colores,Santa Ana,3.84,20.8
3216,Calle 51 Los Colores,Calle Nueva,4.64,23.4666666667
3217,Calle 51 Los Colores,La Barquereña,4.16,21.8666666667
3218,Calle 51 Los Colores,Entre amigos,4.24,22.1333333333
3219,Calle 51 Los Colores,Sabaneta Centro,4.32,22.4
3220,Calle 51 Los Colores,Aves María,4.48,22.9333333333
3221,Calle 51 Los Colores,Biblioteca Sabaneta,4.48,22.9333333333
3222,Calle 51 Los Colores,Parque 4 Elementos,4.0,21.3333333333
3223,Calle 51 Los Colores,Puente de la 77 Sur,4.48,22.9333333333
3226,Calle 51 Los Colores,Bahía Ciclovia,2.88,17.6
3227,Calle 51 Los Colores,Ideas,2.56,16.5333333333
3228,Calle 51 Los Colores,Parque Itaguí,2.16,15.2
3229,Calle 51 Los Colores,Metróplus Cami,2.0,14.6666666667
3230,Calle 51 Los Colores,Doña María,2.48,16.2666666667
3231,Calle 51 Los Colores,Los Naranjos,2.48,16.2666666667
3232,Calle 51 Los Colores,Villa Paula,2.48,16.2666666667
3233,Calle 51 Los Colores,Parque el Artista,3.04,18.1333333333
3234,Calle 51 Los Colores,Puente pan de Queso I,3.6,20.0
3235,Calle 51 Los Colores,Puente pan de Queso II,3.6,20.0
3236,Calle 51 Los Colores,Metro Bello,3.04,18.1333333333
3237,Calle 51 Los Colores,Parque Bello,2.32,15.7333333333
3456,Orquídeas,Moravia,4.16,21.8666666667
3457,Orquídeas,Universidad,3.44,19.4666666667
3458,Orquídeas,Ruta N,2.96,17.8666666667
3459,Orquídeas,Robledo,1.12,11.7333333333
3460,Orquídeas,Campus Nacional,1.36,12.5333333333
3461,Orquídeas,Dian Alpujarra,2.56,16.5333333333
3462,Orquídeas,Distrito Creativo,3.68,20.2666666667
3463,Orquídeas,Plaza de La Libertad,2.48,16.2666666667
3464,Orquídeas,Parque de Las Luces II,2.4,16.0
3465,Orquídeas,Pies Descalzos I,2.16,15.2
3466,Orquídeas,Area Metropolitana,2.56,16.5333333333
3467,Orquídeas,Plaza Mayor,2.4,16.0
3468,Orquídeas,Parque de Las Luces I,2.4,16.0
3469,Orquídeas,Pies Descalzos II,2.16,15.2
3470,Orquídeas,Málaga,2.4,16.0
3471,Orquídeas,Palacé,3.28,18.9333333333
3472,Orquídeas,Museo de Antioquia,1.76,13.8666666667
3473,Orquídeas,San Antonio,2.32,15.7333333333
3474,Orquídeas,Parque Berrio,2.0,14.6666666667
3475,Orquídeas,Palacio de la Cultura,1.92,14.4
3476,Orquídeas,SIU-UdeA,2.48,16.2666666667
3477,Orquídeas,Primer Parque de Laureles,4.48,22.9333333333
3478,Orquídeas,Otra Banda,0.96,11.2
3480,Orquídeas,Florida Nueva,0.56,9.86666666667
3482,Orquídeas,María Mulata,0.72,10.4
3484,Orquídeas,Batallón,0.56,9.86666666667
3485,Orquídeas,Calle 51 Los Colores,0.4,9.33333333333
3488,Orquídeas,Santa Teresita,1.6,13.3333333333
3489,Orquídeas,La 65,1.36,12.5333333333
3490,Orquídeas,San Pedro y San Pablo,0.56,9.86666666667
3491,Orquídeas,Parque de Los Mangos,1.6,13.3333333333
3492,Orquídeas,Pedro Nel Gómez,1.2,12.0
3493,Orquídeas,Estadio,0.72,10.4
3494,Orquídeas,Suramericana,1.12,11.7333333333
3495,Orquídeas,Colombia,0.88,10.9333333333
3496,Orquídeas,San Juan,0.96,11.2
3499,Orquídeas,Floresta,0.72,10.4
3500,Orquídeas,Parque de los Enamorados,0.8,10.6666666667
3501,Orquídeas,Salazar y Herrera,0.24,8.8
3502,Orquídeas,Unicentro,2.08,14.9333333333
3503,Orquídeas,Calle 19A Villa Carlota,5.12,25.0666666667
3504,Orquídeas,Politécnico,5.76,27.2
3505,Orquídeas,Telemedellín,5.2,25.3333333333
3506,Orquídeas,Industriales Metro,4.08,21.6
3507,Orquídeas,MAMM,4.72,23.7333333333
3508,Orquídeas,Río Aburrá,4.08,21.6
3509,Orquídeas,Villa Carlota,4.8,24.0
3510,Orquídeas,Ciudad del Río,5.12,25.0666666667
3511,Orquídeas,Industriales Metroplús,3.6,20.0
3512,Orquídeas,Nutibara,2.48,16.2666666667
3513,Orquídeas,Juan Pablo II,3.2,18.6666666667
3514,Orquídeas,Picacha la 76,1.76,13.8666666667
3515,Orquídeas,Parques del río,1.68,13.6
3516,Orquídeas,La 33,2.32,15.7333333333
3517,Orquídeas,Rosales,2.16,15.2
3518,Orquídeas,Maria Luisa Calle,4.24,22.1333333333
3519,Orquídeas,Unidad Deportiva de Belén,2.4,16.0
3521,Orquídeas,Cafetero,2.32,15.7333333333
3522,Orquídeas,Metro Envigado Sur,3.04,18.1333333333
3523,Orquídeas,Metro Envigado Norte,3.2,18.6666666667
3524,Orquídeas,Auxiliar Metro Envigado,3.12,18.4
3525,Orquídeas,La Ultima Estación,3.12,18.4
3526,Orquídeas,Pista de Patinaje,3.12,18.4
3527,Orquídeas,Villas de Vallejuelos,3.28,18.9333333333
3528,Orquídeas,Iglesia Alcalá,3.28,18.9333333333
3529,Orquídeas,Los Urapanes,3.44,19.4666666667
3530,Orquídeas,Parque Débora Arango,3.36,19.2
3531,Orquídeas,Porton de Alcalá,3.52,19.7333333333
3532,Orquídeas,El MUA,3.52,19.7333333333
3533,Orquídeas,Viva Envigado,3.68,20.2666666667
3534,Orquídeas,Guanteros,3.6,20.0
3535,Orquídeas,Envigado Centro,3.76,20.5333333333
3536,Orquídeas,Puente fundadores,3.2,18.6666666667
3537,Orquídeas,Sabaneta Metro,3.2,18.6666666667
3538,Orquídeas,Las Vegas 69 Sur,3.44,19.4666666667
3539,Orquídeas,Santa Ana,3.44,19.4666666667
3540,Orquídeas,Calle Nueva,4.24,22.1333333333
3541,Orquídeas,La Barquereña,3.76,20.5333333333
3542,Orquídeas,Entre amigos,3.84,20.8
3543,Orquídeas,Sabaneta Centro,3.92,21.0666666667
3544,Orquídeas,Aves María,4.08,21.6
3545,Orquídeas,Biblioteca Sabaneta,4.08,21.6
3546,Orquídeas,Parque 4 Elementos,3.6,20.0
3547,Orquídeas,Puente de la 77 Sur,4.08,21.6
3550,Orquídeas,Bahía Ciclovia,2.64,16.8
3551,Orquídeas,Ideas,2.32,15.7333333333
3552,Orquídeas,Parque Itaguí,1.92,14.4
3553,Orquídeas,Metróplus Cami,1.76,13.8666666667
3554,Orquídeas,Doña María,2.08,14.9333333333
3555,Orquídeas,Los Naranjos,2.08,14.9333333333
3556,Orquídeas,Villa Paula,2.08,14.9333333333
3557,Orquídeas,Parque el Artista,2.64,16.8
3558,Orquídeas,Puente pan de Queso I,3.2,18.6666666667
3559,Orquídeas,Puente pan de Queso II,3.2,18.6666666667
3560,Orquídeas,Metro Bello,2.8,17.3333333333
3561,Orquídeas,Parque Bello,2.08,14.9333333333
3564,Santa Teresita,Moravia,5.76,27.2
3565,Santa Teresita,Universidad,5.04,24.8
3566,Santa Teresita,Ruta N,4.56,23.2
3567,Santa Teresita,Robledo,2.4,16.0
3568,Santa Teresita,Campus Nacional,2.96,17.8666666667
3569,Santa Teresita,Dian Alpujarra,2.56,16.5333333333
3570,Santa Teresita,Distrito Creativo,2.4,16.0
3571,Santa Teresita,Plaza de La Libertad,2.48,16.2666666667
3572,Santa Teresita,Parque de Las Luces II,2.72,17.0666666667
3573,Santa Teresita,Pies Descalzos I,2.16,15.2
3574,Santa Teresita,Area Metropolitana,2.4,16.0
3575,Santa Teresita,Plaza Mayor,2.24,15.4666666667
3576,Santa Teresita,Parque de Las Luces I,2.72,17.0666666667
3577,Santa Teresita,Pies Descalzos II,2.16,15.2
3578,Santa Teresita,Málaga,2.88,17.6
3579,Santa Teresita,Palacé,2.16,15.2
3580,Santa Teresita,Museo de Antioquia,3.36,19.2
3581,Santa Teresita,San Antonio,2.96,17.8666666667
3582,Santa Teresita,Parque Berrio,3.28,18.9333333333
3583,Santa Teresita,Palacio de la Cultura,3.36,19.2
3584,Santa Teresita,SIU-UdeA,4.08,21.6
3585,Santa Teresita,Primer Parque de Laureles,6.08,28.2666666667
3586,Santa Teresita,Otra Banda,2.24,15.4666666667
3588,Santa Teresita,Florida Nueva,1.36,12.5333333333
3590,Santa Teresita,María Mulata,0.88,10.9333333333
3592,Santa Teresita,Batallón,1.36,12.5333333333
3593,Santa Teresita,Calle 51 Los Colores,1.52,13.0666666667
3596,Santa Teresita,Orquídeas,1.6,13.3333333333
3597,Santa Teresita,La 65,1.68,13.6
3598,Santa Teresita,San Pedro y San Pablo,1.2,12.0
3599,Santa Teresita,Parque de Los Mangos,1.28,12.2666666667
3600,Santa Teresita,Pedro Nel Gómez,0.4,9.33333333333
3601,Santa Teresita,Estadio,1.52,13.0666666667
3602,Santa Teresita,Suramericana,1.92,14.4
3603,Santa Teresita,Colombia,2.16,15.2
3604,Santa Teresita,San Juan,1.28,12.2666666667
3607,Santa Teresita,Floresta,1.36,12.5333333333
3608,Santa Teresita,Parque de los Enamorados,1.92,14.4
3609,Santa Teresita,Salazar y Herrera,1.84,14.1333333333
3610,Santa Teresita,Unicentro,0.8,10.6666666667
3611,Santa Teresita,Calle 19A Villa Carlota,3.84,20.8
3612,Santa Teresita,Politécnico,4.48,22.9333333333
3613,Santa Teresita,Telemedellín,3.92,21.0666666667
3614,Santa Teresita,Industriales Metro,2.8,17.3333333333
3615,Santa Teresita,MAMM,3.44,19.4666666667
3616,Santa Teresita,Río Aburrá,2.8,17.3333333333
3617,Santa Teresita,Villa Carlota,3.52,19.7333333333
3618,Santa Teresita,Ciudad del Río,3.84,20.8
3619,Santa Teresita,Industriales Metroplús,2.32,15.7333333333
3620,Santa Teresita,Nutibara,1.2,12.0
3621,Santa Teresita,Juan Pablo II,1.92,14.4
3622,Santa Teresita,Picacha la 76,0.16,8.53333333333
3623,Santa Teresita,Parques del río,1.68,13.6
3624,Santa Teresita,La 33,1.04,11.4666666667
3625,Santa Teresita,Rosales,0.88,10.9333333333
3626,Santa Teresita,Maria Luisa Calle,2.96,17.8666666667
3627,Santa Teresita,Unidad Deportiva de Belén,1.12,11.7333333333
3629,Santa Teresita,Cafetero,1.04,11.4666666667
3630,Santa Teresita,Metro Envigado Sur,2.56,16.5333333333
3631,Santa Teresita,Metro Envigado Norte,2.4,16.0
3632,Santa Teresita,Auxiliar Metro Envigado,2.64,16.8
3633,Santa Teresita,La Ultima Estación,2.64,16.8
3634,Santa Teresita,Pista de Patinaje,2.8,17.3333333333
3635,Santa Teresita,Villas de Vallejuelos,2.96,17.8666666667
3636,Santa Teresita,Iglesia Alcalá,2.8,17.3333333333
3637,Santa Teresita,Los Urapanes,2.64,16.8
3638,Santa Teresita,Parque Débora Arango,2.72,17.0666666667
3639,Santa Teresita,Porton de Alcalá,3.04,18.1333333333
3640,Santa Teresita,El MUA,2.88,17.6
3641,Santa Teresita,Viva Envigado,2.4,16.0
3642,Santa Teresita,Guanteros,2.96,17.8666666667
3643,Santa Teresita,Envigado Centro,2.96,17.8666666667
3644,Santa Teresita,Puente fundadores,2.56,16.5333333333
3645,Santa Teresita,Sabaneta Metro,4.8,24.0
3646,Santa Teresita,Las Vegas 69 Sur,5.04,24.8
3647,Santa Teresita,Santa Ana,5.04,24.8
3648,Santa Teresita,Calle Nueva,5.84,27.4666666667
3649,Santa Teresita,La Barquereña,5.36,25.8666666667
3650,Santa Teresita,Entre amigos,5.44,26.1333333333
3651,Santa Teresita,Sabaneta Centro,5.52,26.4
3652,Santa Teresita,Aves María,5.68,26.9333333333
3653,Santa Teresita,Biblioteca Sabaneta,5.68,26.9333333333
3654,Santa Teresita,Parque 4 Elementos,5.2,25.3333333333
3655,Santa Teresita,Puente de la 77 Sur,5.68,26.9333333333
3658,Santa Teresita,Bahía Ciclovia,4.08,21.6
3659,Santa Teresita,Ideas,3.76,20.5333333333
3660,Santa Teresita,Parque Itaguí,3.36,19.2
3661,Santa Teresita,Metróplus Cami,3.2,18.6666666667
3662,Santa Teresita,Doña María,3.68,20.2666666667
3663,Santa Teresita,Los Naranjos,3.68,20.2666666667
3664,Santa Teresita,Villa Paula,3.68,20.2666666667
3665,Santa Teresita,Parque el Artista,4.24,22.1333333333
3666,Santa Teresita,Puente pan de Queso I,4.8,24.0
3667,Santa Teresita,Puente pan de Queso II,4.8,24.0
3668,Santa Teresita,Metro Bello,3.28,18.9333333333
3669,Santa Teresita,Parque Bello,3.36,19.2
3672,La 65,Moravia,4.08,21.6
3673,La 65,Universidad,3.36,19.2
3674,La 65,Ruta N,2.88,17.6
3675,La 65,Robledo,2.48,16.2666666667
3676,La 65,Campus Nacional,1.28,12.2666666667
3677,La 65,Dian Alpujarra,1.2,12.0
3678,La 65,Distrito Creativo,2.32,15.7333333333
3679,La 65,Plaza de La Libertad,1.12,11.7333333333
3680,La 65,Parque de Las Luces II,1.04,11.4666666667
3681,La 65,Pies Descalzos I,0.8,10.6666666667
3682,La 65,Area Metropolitana,1.2,12.0
3683,La 65,Plaza Mayor,1.04,11.4666666667
3684,La 65,Parque de Las Luces I,1.04,11.4666666667
3685,La 65,Pies Descalzos II,0.8,10.6666666667
3686,La 65,Málaga,1.2,12.0
3687,La 65,Palacé,1.92,14.4
3688,La 65,Museo de Antioquia,1.68,13.6
3689,La 65,San Antonio,1.28,12.2666666667
3690,La 65,Parque Berrio,1.6,13.3333333333
3691,La 65,Palacio de la Cultura,1.68,13.6
3692,La 65,SIU-UdeA,2.4,16.0
3693,La 65,Primer Parque de Laureles,4.4,22.6666666667
3694,La 65,Otra Banda,0.56,9.86666666667
3696,La 65,Florida Nueva,0.8,10.6666666667
3698,La 65,María Mulata,0.8,10.6666666667
3700,La 65,Batallón,1.44,12.8
3701,La 65,Calle 51 Los Colores,1.6,13.3333333333
3704,La 65,Orquídeas,1.36,12.5333333333
3705,La 65,Santa Teresita,1.68,13.6
3706,La 65,San Pedro y San Pablo,1.28,12.2666666667
3707,La 65,Parque de Los Mangos,0.4,9.33333333333
3708,La 65,Pedro Nel Gómez,1.28,12.2666666667
3709,La 65,Estadio,0.64,10.1333333333
3710,La 65,Suramericana,0.24,8.8
3711,La 65,Colombia,0.48,9.6
3712,La 65,San Juan,0.4,9.33333333333
3715,La 65,Floresta,1.44,12.8
3716,La 65,Parque de los Enamorados,0.56,9.86666666667
3717,La 65,Salazar y Herrera,1.12,11.7333333333
3718,La 65,Unicentro,0.88,10.9333333333
3719,La 65,Calle 19A Villa Carlota,3.76,20.5333333333
3720,La 65,Politécnico,4.4,22.6666666667
3721,La 65,Telemedellín,3.84,20.8
3722,La 65,Industriales Metro,2.72,17.0666666667
3723,La 65,MAMM,3.36,19.2
3724,La 65,Río Aburrá,2.72,17.0666666667
3725,La 65,Villa Carlota,3.44,19.4666666667
3726,La 65,Ciudad del Río,3.76,20.5333333333
3727,La 65,Industriales Metroplús,2.24,15.4666666667
3728,La 65,Nutibara,1.12,11.7333333333
3729,La 65,Juan Pablo II,2.64,16.8
3730,La 65,Picacha la 76,1.84,14.1333333333
3731,La 65,Parques del río,0.32,9.06666666667
3732,La 65,La 33,0.96,11.2
3733,La 65,Rosales,1.6,13.3333333333
3734,La 65,Maria Luisa Calle,3.68,20.2666666667
3735,La 65,Unidad Deportiva de Belén,1.2,12.0
3737,La 65,Cafetero,0.96,11.2
3738,La 65,Metro Envigado Sur,1.68,13.6
3739,La 65,Metro Envigado Norte,1.84,14.1333333333
3740,La 65,Auxiliar Metro Envigado,1.76,13.8666666667
3741,La 65,La Ultima Estación,1.76,13.8666666667
3742,La 65,Pista de Patinaje,1.76,13.8666666667
3743,La 65,Villas de Vallejuelos,1.92,14.4
3744,La 65,Iglesia Alcalá,1.92,14.4
3745,La 65,Los Urapanes,2.08,14.9333333333
3746,La 65,Parque Débora Arango,2.0,14.6666666667
3747,La 65,Porton de Alcalá,2.16,15.2
3748,La 65,El MUA,2.16,15.2
3749,La 65,Viva Envigado,2.32,15.7333333333
3750,La 65,Guanteros,2.24,15.4666666667
3751,La 65,Envigado Centro,2.4,16.0
3752,La 65,Puente fundadores,1.84,14.1333333333
3753,La 65,Sabaneta Metro,3.12,18.4
3754,La 65,Las Vegas 69 Sur,3.36,19.2
3755,La 65,Santa Ana,3.36,19.2
3756,La 65,Calle Nueva,4.16,21.8666666667
3757,La 65,La Barquereña,3.68,20.2666666667
3758,La 65,Entre amigos,3.76,20.5333333333
3759,La 65,Sabaneta Centro,3.84,20.8
3760,La 65,Aves María,4.0,21.3333333333
3761,La 65,Biblioteca Sabaneta,4.0,21.3333333333
3762,La 65,Parque 4 Elementos,3.52,19.7333333333
3763,La 65,Puente de la 77 Sur,4.0,21.3333333333
3766,La 65,Bahía Ciclovia,2.4,16.0
3767,La 65,Ideas,2.08,14.9333333333
3768,La 65,Parque Itaguí,1.68,13.6
3769,La 65,Metróplus Cami,1.52,13.0666666667
3770,La 65,Doña María,2.0,14.6666666667
3771,La 65,Los Naranjos,2.0,14.6666666667
3772,La 65,Villa Paula,2.0,14.6666666667
3773,La 65,Parque el Artista,2.56,16.5333333333
3774,La 65,Puente pan de Queso I,3.12,18.4
3775,La 65,Puente pan de Queso II,3.12,18.4
3776,La 65,Metro Bello,1.6,13.3333333333
3777,La 65,Parque Bello,1.68,13.6
3780,San Pedro y San Pablo,Moravia,4.72,23.7333333333
3781,San Pedro y San Pablo,Universidad,4.0,21.3333333333
3782,San Pedro y San Pablo,Ruta N,3.52,19.7333333333
3783,San Pedro y San Pablo,Robledo,1.2,12.0
3784,San Pedro y San Pablo,Campus Nacional,1.92,14.4
3785,San Pedro y San Pablo,Dian Alpujarra,2.48,16.2666666667
3786,San Pedro y San Pablo,Distrito Creativo,3.6,20.0
3787,San Pedro y San Pablo,Plaza de La Libertad,2.4,16.0
3788,San Pedro y San Pablo,Parque de Las Luces II,2.32,15.7333333333
3789,San Pedro y San Pablo,Pies Descalzos I,2.08,14.9333333333
3790,San Pedro y San Pablo,Area Metropolitana,2.48,16.2666666667
3791,San Pedro y San Pablo,Plaza Mayor,2.32,15.7333333333
3792,San Pedro y San Pablo,Parque de Las Luces I,2.32,15.7333333333
3793,San Pedro y San Pablo,Pies Descalzos II,2.08,14.9333333333
3794,San Pedro y San Pablo,Málaga,2.32,15.7333333333
3795,San Pedro y San Pablo,Palacé,3.2,18.6666666667
3796,San Pedro y San Pablo,Museo de Antioquia,2.32,15.7333333333
3797,San Pedro y San Pablo,San Antonio,2.24,15.4666666667
3798,San Pedro y San Pablo,Parque Berrio,2.24,15.4666666667
3799,San Pedro y San Pablo,Palacio de la Cultura,2.32,15.7333333333
3800,San Pedro y San Pablo,SIU-UdeA,3.04,18.1333333333
3801,San Pedro y San Pablo,Primer Parque de Laureles,5.04,24.8
3802,San Pedro y San Pablo,Otra Banda,1.2,12.0
3804,San Pedro y San Pablo,Florida Nueva,0.48,9.6
3806,San Pedro y San Pablo,María Mulata,0.48,9.6
3808,San Pedro y San Pablo,Batallón,0.16,8.53333333333
3809,San Pedro y San Pablo,Calle 51 Los Colores,0.32,9.06666666667
3812,San Pedro y San Pablo,Orquídeas,0.56,9.86666666667
3813,San Pedro y San Pablo,Santa Teresita,1.2,12.0
3814,San Pedro y San Pablo,La 65,1.28,12.2666666667
3815,San Pedro y San Pablo,Parque de Los Mangos,1.52,13.0666666667
3816,San Pedro y San Pablo,Pedro Nel Gómez,0.8,10.6666666667
3817,San Pedro y San Pablo,Estadio,0.64,10.1333333333
3818,San Pedro y San Pablo,Suramericana,1.04,11.4666666667
3819,San Pedro y San Pablo,Colombia,1.12,11.7333333333
3820,San Pedro y San Pablo,San Juan,0.88,10.9333333333
3823,San Pedro y San Pablo,Floresta,0.16,8.53333333333
3824,San Pedro y San Pablo,Parque de los Enamorados,0.88,10.9333333333
3825,San Pedro y San Pablo,Salazar y Herrera,0.8,10.6666666667
3826,San Pedro y San Pablo,Unicentro,2.0,14.6666666667
3827,San Pedro y San Pablo,Calle 19A Villa Carlota,5.04,24.8
3828,San Pedro y San Pablo,Politécnico,5.68,26.9333333333
3829,San Pedro y San Pablo,Telemedellín,5.12,25.0666666667
3830,San Pedro y San Pablo,Industriales Metro,4.0,21.3333333333
3831,San Pedro y San Pablo,MAMM,4.64,23.4666666667
3832,San Pedro y San Pablo,Río Aburrá,4.0,21.3333333333
3833,San Pedro y San Pablo,Villa Carlota,4.72,23.7333333333
3834,San Pedro y San Pablo,Ciudad del Río,5.04,24.8
3835,San Pedro y San Pablo,Industriales Metroplús,3.52,19.7333333333
3836,San Pedro y San Pablo,Nutibara,2.4,16.0
3837,San Pedro y San Pablo,Juan Pablo II,3.12,18.4
3838,San Pedro y San Pablo,Picacha la 76,1.36,12.5333333333
3839,San Pedro y San Pablo,Parques del río,1.6,13.3333333333
3840,San Pedro y San Pablo,La 33,2.24,15.4666666667
3841,San Pedro y San Pablo,Rosales,2.08,14.9333333333
3842,San Pedro y San Pablo,Maria Luisa Calle,4.16,21.8666666667
3843,San Pedro y San Pablo,Unidad Deportiva de Belén,2.32,15.7333333333
3845,San Pedro y San Pablo,Cafetero,2.24,15.4666666667
3846,San Pedro y San Pablo,Metro Envigado Sur,2.96,17.8666666667
3847,San Pedro y San Pablo,Metro Envigado Norte,3.12,18.4
3848,San Pedro y San Pablo,Auxiliar Metro Envigado,3.04,18.1333333333
3849,San Pedro y San Pablo,La Ultima Estación,3.04,18.1333333333
3850,San Pedro y San Pablo,Pista de Patinaje,3.04,18.1333333333
3851,San Pedro y San Pablo,Villas de Vallejuelos,3.2,18.6666666667
3852,San Pedro y San Pablo,Iglesia Alcalá,3.2,18.6666666667
3853,San Pedro y San Pablo,Los Urapanes,3.36,19.2
3854,San Pedro y San Pablo,Parque Débora Arango,3.28,18.9333333333
3855,San Pedro y San Pablo,Porton de Alcalá,3.44,19.4666666667
3856,San Pedro y San Pablo,El MUA,3.44,19.4666666667
3857,San Pedro y San Pablo,Viva Envigado,3.6,20.0
3858,San Pedro y San Pablo,Guanteros,3.52,19.7333333333
3859,San Pedro y San Pablo,Envigado Centro,3.68,20.2666666667
3860,San Pedro y San Pablo,Puente fundadores,3.12,18.4
3861,San Pedro y San Pablo,Sabaneta Metro,3.76,20.5333333333
3862,San Pedro y San Pablo,Las Vegas 69 Sur,4.0,21.3333333333
3863,San Pedro y San Pablo,Santa Ana,4.0,21.3333333333
3864,San Pedro y San Pablo,Calle Nueva,4.8,24.0
3865,San Pedro y San Pablo,La Barquereña,4.32,22.4
3866,San Pedro y San Pablo,Entre amigos,4.4,22.6666666667
3867,San Pedro y San Pablo,Sabaneta Centro,4.48,22.9333333333
3868,San Pedro y San Pablo,Aves María,4.64,23.4666666667
3869,San Pedro y San Pablo,Biblioteca Sabaneta,4.64,23.4666666667
3870,San Pedro y San Pablo,Parque 4 Elementos,4.16,21.8666666667
3871,San Pedro y San Pablo,Puente de la 77 Sur,4.64,23.4666666667
3874,San Pedro y San Pablo,Bahía Ciclovia,3.04,18.1333333333
3875,San Pedro y San Pablo,Ideas,2.72,17.0666666667
3876,San Pedro y San Pablo,Parque Itaguí,2.32,15.7333333333
3877,San Pedro y San Pablo,Metróplus Cami,2.16,15.2
3878,San Pedro y San Pablo,Doña María,2.64,16.8
3879,San Pedro y San Pablo,Los Naranjos,2.64,16.8
3880,San Pedro y San Pablo,Villa Paula,2.64,16.8
3881,San Pedro y San Pablo,Parque el Artista,3.2,18.6666666667
3882,San Pedro y San Pablo,Puente pan de Queso I,3.76,20.5333333333
3883,San Pedro y San Pablo,Puente pan de Queso II,3.76,20.5333333333
3884,San Pedro y San Pablo,Metro Bello,2.72,17.0666666667
3885,San Pedro y San Pablo,Parque Bello,2.32,15.7333333333
3888,Parque de Los Mangos,Moravia,4.48,22.9333333333
3889,Parque de Los Mangos,Universidad,3.76,20.5333333333
3890,Parque de Los Mangos,Ruta N,3.28,18.9333333333
3891,Parque de Los Mangos,Robledo,2.72,17.0666666667
3892,Parque de Los Mangos,Campus Nacional,1.68,13.6
3893,Parque de Los Mangos,Dian Alpujarra,1.28,12.2666666667
3894,Parque de Los Mangos,Distrito Creativo,2.08,14.9333333333
3895,Parque de Los Mangos,Plaza de La Libertad,1.2,12.0
3896,Parque de Los Mangos,Parque de Las Luces II,1.44,12.8
3897,Parque de Los Mangos,Pies Descalzos I,0.88,10.9333333333
3898,Parque de Los Mangos,Area Metropolitana,1.12,11.7333333333
3899,Parque de Los Mangos,Plaza Mayor,0.96,11.2
3900,Parque de Los Mangos,Parque de Las Luces I,1.44,12.8
3901,Parque de Los Mangos,Pies Descalzos II,0.88,10.9333333333
3902,Parque de Los Mangos,Málaga,1.6,13.3333333333
3903,Parque de Los Mangos,Palacé,1.68,13.6
3904,Parque de Los Mangos,Museo de Antioquia,2.08,14.9333333333
3905,Parque de Los Mangos,San Antonio,1.68,13.6
3906,Parque de Los Mangos,Parque Berrio,2.0,14.6666666667
3907,Parque de Los Mangos,Palacio de la Cultura,2.08,14.9333333333
3908,Parque de Los Mangos,SIU-UdeA,2.8,17.3333333333
3909,Parque de Los Mangos,Primer Parque de Laureles,4.8,24.0
3910,Parque de Los Mangos,Otra Banda,0.96,11.2
3912,Parque de Los Mangos,Florida Nueva,1.04,11.4666666667
3914,Parque de Los Mangos,María Mulata,1.04,11.4666666667
3916,Parque de Los Mangos,Batallón,1.68,13.6
3917,Parque de Los Mangos,Calle 51 Los Colores,1.84,14.1333333333
3920,Parque de Los Mangos,Orquídeas,1.6,13.3333333333
3921,Parque de Los Mangos,Santa Teresita,1.28,12.2666666667
3922,Parque de Los Mangos,La 65,0.4,9.33333333333
3923,Parque de Los Mangos,San Pedro y San Pablo,1.52,13.0666666667
3924,Parque de Los Mangos,Pedro Nel Gómez,0.88,10.9333333333
3925,Parque de Los Mangos,Estadio,0.88,10.9333333333
3926,Parque de Los Mangos,Suramericana,0.64,10.1333333333
3927,Parque de Los Mangos,Colombia,0.88,10.9333333333
3928,Parque de Los Mangos,San Juan,0.64,10.1333333333
3931,Parque de Los Mangos,Floresta,1.68,13.6
3932,Parque de Los Mangos,Parque de los Enamorados,0.8,10.6666666667
3933,Parque de Los Mangos,Salazar y Herrera,1.36,12.5333333333
3934,Parque de Los Mangos,Unicentro,0.48,9.6
3935,Parque de Los Mangos,Calle 19A Villa Carlota,3.52,19.7333333333
