,startA,startB,Distancia,Tiempo (min)
121,Universidad,Málaga,2.32,15.7333333333
122,Universidad,Palacé,3.2,18.6666666667
123,Universidad,Museo de Antioquia,1.68,13.6
124,Universidad,San Antonio,2.24,15.4666666667
125,Universidad,Parque Berrio,1.92,14.4
126,Universidad,Palacio de la Cultura,1.84,14.1333333333
127,Universidad,SIU-UdeA,0.96,11.2
128,Universidad,Primer Parque de Laureles,1.04,11.4666666667
129,Universidad,Otra Banda,2.8,17.3333333333
131,Universidad,Florida Nueva,3.68,20.2666666667
133,Universidad,María Mulata,4.16,21.8666666667
135,Universidad,Batallón,4.0,21.3333333333
136,Universidad,Calle 51 Los Colores,3.84,20.8
139,Universidad,Orquídeas,3.44,19.4666666667
140,Universidad,Santa Teresita,5.04,24.8
141,Universidad,La 65,3.36,19.2
142,Universidad,San Pedro y San Pablo,4.0,21.3333333333
143,Universidad,Parque de Los Mangos,3.76,20.5333333333
144,Universidad,Pedro Nel Gómez,4.64,23.4666666667
145,Universidad,Estadio,3.52,19.7333333333
146,Universidad,Suramericana,3.12,18.4
147,Universidad,Colombia,2.88,17.6
148,Universidad,San Juan,3.76,20.5333333333
151,Universidad,Floresta,4.16,21.8666666667
152,Universidad,Parque de los Enamorados,3.12,18.4
153,Universidad,Salazar y Herrera,3.2,18.6666666667
154,Universidad,Unicentro,4.24,22.1333333333
155,Universidad,Calle 19A Villa Carlota,5.04,24.8
156,Universidad,Politécnico,5.68,26.9333333333
157,Universidad,Telemedellín,5.12,25.0666666667
158,Universidad,Industriales Metro,4.0,21.3333333333
159,Universidad,MAMM,4.64,23.4666666667
160,Universidad,Río Aburrá,4.0,21.3333333333
161,Universidad,Villa Carlota,4.72,23.7333333333
162,Universidad,Ciudad del Río,5.04,24.8
163,Universidad,Industriales Metroplús,3.52,19.7333333333
164,Universidad,Nutibara,4.48,22.9333333333
165,Universidad,Juan Pablo II,6.0,28.0
166,Universidad,Picacha la 76,5.2,25.3333333333
167,Universidad,Parques del río,3.36,19.2
168,Universidad,La 33,4.32,22.4
169,Universidad,Rosales,4.96,24.5333333333
170,Universidad,Maria Luisa Calle,7.04,31.4666666667
171,Universidad,Unidad Deportiva de Belén,4.56,23.2
173,Universidad,Cafetero,4.32,22.4
174,Universidad,Metro Envigado Sur,2.96,17.8666666667
175,Universidad,Metro Envigado Norte,3.12,18.4
176,Universidad,Auxiliar Metro Envigado,3.04,18.1333333333
177,Universidad,La Ultima Estación,3.04,18.1333333333
178,Universidad,Pista de Patinaje,3.04,18.1333333333
179,Universidad,Villas de Vallejuelos,3.2,18.6666666667
180,Universidad,Iglesia Alcalá,3.2,18.6666666667
181,Universidad,Los Urapanes,3.36,19.2
182,Universidad,Parque Débora Arango,3.28,18.9333333333
183,Universidad,Porton de Alcalá,3.44,19.4666666667
184,Universidad,El MUA,3.44,19.4666666667
185,Universidad,Viva Envigado,3.6,20.0
186,Universidad,Guanteros,3.52,19.7333333333
187,Universidad,Envigado Centro,3.68,20.2666666667
188,Universidad,Puente fundadores,3.12,18.4
189,Universidad,Sabaneta Metro,0.72,10.4
190,Universidad,Las Vegas 69 Sur,0.64,10.1333333333
191,Universidad,Santa Ana,0.96,11.2
192,Universidad,Calle Nueva,0.8,10.6666666667
193,Universidad,La Barquereña,1.12,11.7333333333
194,Universidad,Entre amigos,0.56,9.86666666667
195,Universidad,Sabaneta Centro,0.64,10.1333333333
196,Universidad,Aves María,0.64,10.1333333333
197,Universidad,Biblioteca Sabaneta,0.64,10.1333333333
198,Universidad,Parque 4 Elementos,1.28,12.2666666667
199,Universidad,Puente de la 77 Sur,0.64,10.1333333333
202,Universidad,Bahía Ciclovia,2.56,16.5333333333
203,Universidad,Ideas,2.24,15.4666666667
204,Universidad,Parque Itaguí,1.84,14.1333333333
205,Universidad,Metróplus Cami,1.84,14.1333333333
206,Universidad,Doña María,1.36,12.5333333333
207,Universidad,Los Naranjos,1.84,14.1333333333
208,Universidad,Villa Paula,1.52,13.0666666667
209,Universidad,Parque el Artista,0.8,10.6666666667
210,Universidad,Puente pan de Queso I,1.84,14.1333333333
211,Universidad,Puente pan de Queso II,1.84,14.1333333333
212,Universidad,Metro Bello,2.72,17.0666666667
213,Universidad,Parque Bello,2.0,14.6666666667
216,Ruta N,Moravia,1.2,12.0
217,Ruta N,Universidad,0.48,9.6
218,Ruta N,Robledo,2.32,15.7333333333
219,Ruta N,Campus Nacional,1.6,13.3333333333
220,Ruta N,Dian Alpujarra,2.0,14.6666666667
221,Ruta N,Distrito Creativo,3.12,18.4
222,Ruta N,Plaza de La Libertad,2.08,14.9333333333
223,Ruta N,Parque de Las Luces II,1.84,14.1333333333
224,Ruta N,Pies Descalzos I,2.4,16.0
225,Ruta N,Area Metropolitana,2.16,15.2
226,Ruta N,Plaza Mayor,2.32,15.7333333333
227,Ruta N,Parque de Las Luces I,1.84,14.1333333333
228,Ruta N,Pies Descalzos II,2.4,16.0
229,Ruta N,Málaga,1.84,14.1333333333
230,Ruta N,Palacé,2.72,17.0666666667
231,Ruta N,Museo de Antioquia,1.2,12.0
232,Ruta N,San Antonio,1.76,13.8666666667
233,Ruta N,Parque Berrio,1.44,12.8
234,Ruta N,Palacio de la Cultura,1.36,12.5333333333
235,Ruta N,SIU-UdeA,0.48,9.6
236,Ruta N,Primer Parque de Laureles,1.52,13.0666666667
237,Ruta N,Otra Banda,2.32,15.7333333333
239,Ruta N,Florida Nueva,3.2,18.6666666667
241,Ruta N,María Mulata,3.68,20.2666666667
243,Ruta N,Batallón,3.52,19.7333333333
244,Ruta N,Calle 51 Los Colores,3.36,19.2
247,Ruta N,Orquídeas,2.96,17.8666666667
248,Ruta N,Santa Teresita,4.56,23.2
249,Ruta N,La 65,2.88,17.6
250,Ruta N,San Pedro y San Pablo,3.52,19.7333333333
251,Ruta N,Parque de Los Mangos,3.28,18.9333333333
252,Ruta N,Pedro Nel Gómez,4.16,21.8666666667
253,Ruta N,Estadio,3.04,18.1333333333
254,Ruta N,Suramericana,2.64,16.8
255,Ruta N,Colombia,2.4,16.0
256,Ruta N,San Juan,3.28,18.9333333333
259,Ruta N,Floresta,3.68,20.2666666667
260,Ruta N,Parque de los Enamorados,2.64,16.8
261,Ruta N,Salazar y Herrera,2.72,17.0666666667
262,Ruta N,Unicentro,3.76,20.5333333333
