,FAMILIA,Nombre común,Nombre científico,X,Y,NUMERO DE TALLOS,CAP_1,CAP_2,CAP_3,CAP_4,CAP_5,SUMATORIA CAP,ALTURA TOTAL,ALTURA DE COPA,DIAMETRO_MAYOR ,DIAMETRO_MENOR,ORIENTACIÒN DE COPA (Punto Cardinal)
1719,ANACARDIACEAE,Mango,Mangifera indica ,6.266214,-75.567733,2,82.4,64.6,,,,147.0,8.5,2.0,13.4,10.8,Este -oeste
1720,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.2663847,-75.5677086,1,109.8,,,,,109.8,9.5,7.0,4.5,4.0,Norte -sur
1721,FABACEAE,Gualanday (2),Jacaranda hesperia ,6.266478,-75.5676995,2,194.8,174.9,,,,369.70000000000005,17.0,3.2,21.8,19.6,Norte-sur
1722,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.2664393,-75.5677234,1,36.2,,,,,36.2,5.0,1.1,4.3,4.2,Norte-sur
1723,BORAGINACEAE,Nogal cafetero,Cordia alliodora ,6.2664007,-75.567751,1,57.5,,,,,57.5,11.5,5.5,6.3,6.2,Norte-sur
1724,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.266442,-75.5677766,1,146.8,,,,,146.8,13.0,9.0,9.5,7.4,Este -oeste
1725,MALVACEAE,Cacao de monte,Pachira speciosa,6.2664973,-75.5677729,2,7.6,6.2,,,,13.8,2.4,1.0,1.9,1.3,Este -oeste
1726,BIGNONIACEAE,Guayacán amarillo,Handroanthus chrysanthus,6.2665,-75.5678372,1,84.0,,,,,84.0,9.5,6.5,7.4,6.3,Este -oeste
1727,MALVACEAE,Cacao de monte,Pachira speciosa,6.2664693,-75.56786,1,111.9,,,,,111.9,13.0,5.0,10.5,9.3,Norte-sur
1728,ANACARDIACEAE,Mango,Mangifera indica ,6.2664247,-75.5678523,1,99.1,,,,,99.1,9.0,3.8,8.1,5.3,Este -oeste
1729,MYRTACEAE,Pomo,Syzygium jambos ,6.2664293,-75.5678944,1,88.7,,,,,88.7,12.0,2.0,16.3,14.9,Norte-sur
1730,APOCYNACEAE,Catape,Thevetia peruviana ,6.2664993,-75.5678886,1,43.8,,,,,43.8,6.8,3.0,7.5,4.1,Norte-sur
1731,LAURACEAE,Aguacate,Persea americana ,6.266502,-75.5679144,2,42.9,41.0,,,,83.9,6.3,2.0,9.2,7.1,Este -oeste
1732,BORAGINACEAE,Nogal cafetero,Cordia alliodora ,6.2664627,-75.5679198,1,121.6,,,,,121.6,20.0,11.0,15.2,15.0,Este -oeste
1733,MALPIGHIACEAE,Huesito,Malpighia glabra ,6.26643,-75.567946,2,40.5,38.9,,,,79.4,6.8,2.7,6.2,4.1,Norte-sur
1734,FABACEAE,Gualanday (2),Jacaranda hesperia ,6.2664713,-75.5679641,1,261.6,,,,,261.6,21.5,9.0,28.6,20.5,Norte-sur
1735,BIGNONIACEAE,Tulipán africano,Spathodea campanulata ,6.2664913,-75.5679637,1,125.9,,,,,125.9,20.0,15.0,12.5,10.3,Este -oeste
1736,MALVACEAE,Cacao de monte,Pachira speciosa,6.266508,-75.5679944,1,105.8,,,,,105.8,7.6,2.6,7.6,6.3,Este -oeste
1737,MALVACEAE,Cacao de monte,Pachira speciosa,6.2664714,-75.5680065,1,33.8,,,,,33.8,5.5,1.6,8.1,6.3,Este -oeste
1738,MALPIGHIACEAE,Huesito,Malpighia glabra ,6.2664327,-75.5680031,5,21.5,18.6,18.3,17.5,14.2,90.10000000000001,4.8,1.4,7.4,6.2,Este -oeste
